id,finicity_institution_id,tag,is_deleted,created_at
1234,3,capital 1,false,2020-02-28T06:10:29.714Z
1235,2,bank 5 maybe,true,2019-02-28T06:10:29.714Z
1333,2,bank five,false,2020-03-28T06:10:29.714Z
1458,1,wells fargo business???,true,2020-06-30T05:10:29.714Z
1567,1,wells fargo business,false,2020-06-21T06:10:29.714Z
1889,2,bank 5,false,2020-04-30T06:10:29.714Z
1890,1,wells fargo CEO,false,2020-06-30T06:10:29.714Z
1891,3,capital one,false,2020-06-30T06:10:29.714Z
1891,1,capital one,false,2020-06-17T06:10:29.714Z
1992,1,batman,false,2019-09-29T06:10:29.714Z
1993,1,wells fargo,false,2019-09-30T06:10:29.714Z
1995,4,batman,false,2019-09-30T06:10:29.714Z
1995,2,batman,true,2020-08-30T06:10:29.714Z
